 Wed, 07 Aug 2019 20:29:29  INFO logger.py <module> [ line:24 ] hehehe
 Wed, 07 Aug 2019 20:29:37  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_输入用户名  元素  ('xpath', '//input[@name="phone"]') 可见成功。耗时：0:00:00.145913
 Wed, 07 Aug 2019 20:29:37  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_输入用户名 元素 ('xpath', '//input[@name="phone"]') 成功！
 Wed, 07 Aug 2019 20:29:38  INFO basepage.py input_text [ line:94 ] 在 登陆页面_输入用户名 元素 ('xpath', '//input[@name="phone"]') 上输入文本值：18684720553 成功！
 Wed, 07 Aug 2019 20:29:38  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_输入密码  元素  ('xpath', '//input[@name="password"]') 可见成功。耗时：0:00:00.144915
 Wed, 07 Aug 2019 20:29:38  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_输入密码 元素 ('xpath', '//input[@name="password"]') 成功！
 Wed, 07 Aug 2019 20:29:38  INFO basepage.py input_text [ line:94 ] 在 登陆页面_输入密码 元素 ('xpath', '//input[@name="password"]') 上输入文本值： 成功！
 Wed, 07 Aug 2019 20:29:38  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_点击登陆按钮  元素  ('xpath', '//button') 可见成功。耗时：0:00:00.173900
 Wed, 07 Aug 2019 20:29:39  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_点击登陆按钮 元素 ('xpath', '//button') 成功！
 Wed, 07 Aug 2019 20:29:39  INFO basepage.py click_element [ line:77 ] 点击  登陆页面_点击登陆按钮 元素 ('xpath', '//button') 成功！
 Wed, 07 Aug 2019 20:29:39  INFO basepage.py wait_ele_exists [ line:52 ] 等待 登陆页面_获取登陆表单的错误提示信息  元素  ('xpath', '//div[@class="form-error-info"]') 存在成功。耗时：0:00:00.150913
 Wed, 07 Aug 2019 20:29:39  INFO basepage.py get_element [ line:65 ] 查找  登陆页面_获取登陆表单的错误提示信息 元素 ('xpath', '//div[@class="form-error-info"]') 成功！
 Wed, 07 Aug 2019 20:29:39  INFO basepage.py get_text [ line:133 ] 获取 登陆页面_获取登陆表单的错误提示信息 元素 ('xpath', '//div[@class="form-error-info"]') 的文本值为:请输入密码
